file,orig_bytes,webp_bytes,ratio
ALPINEA-LOGO-transparent.png,292730,80982,0.277
ALPINEA-LOGO.png,2076185,64648,0.031
Booking.com-Logo-trimmed.png,49267,61080,1.24
Booking.com-Logo.png,25467,74566,2.928
"ChatGPT Image 19 de jun. de 2026, 00_07_39.png",2308977,198760,0.086
"ChatGPT Image 19 de jun. de 2026, 09_19_24.png",2385542,177120,0.074
"ChatGPT Image 19 de jun. de 2026, 09_25_02.png",2475116,216464,0.087
Four-Seasons-Logo.png,50700,88142,1.739
Hitsumabushi.png,605294,48672,0.08,kept
Janu.jpg,1176817,119722,0.102,kept
Jokoro.png,2706760,318586,0.118,kept
Kyobashi_Station_entrance_7_20170813.jpg,2639596,874304,0.331,kept
Narita-hero.png,1635286,128558,0.079,kept
Nex_train.jpg,163235,120906,0.741,kept
OkoThiefOfCrowns__25446.png,783083,155948,0.199,kept
Qatar-Airways-Logo.png,47593,115060,2.418,skipped_no_gain
ROTEIRO-2027-PRIMAVERA.png,-1,-1,ERROR,cannot identify image file '/sessions/rcw-0186khjvzszodjtnuiaqxtdm/mnt/alpinea-website/public/images/ROTEIRO-2027-PRIMAVERA.png'
SkyTeam-Logo.png,36718,71966,1.96,skipped_no_gain
Starbucks-Logo.wine.png,87845,88520,1.008,skipped_no_gain
T1-Overview.png,385097,68950,0.179,kept
T1-Terminal-Shuttle.png,235585,34202,0.145,kept
T3-terminal-shuttle.png,113473,17242,0.152,kept
Toriton.png,543102,40446,0.074,kept
ajisai-alpinea-logo-transparent.png,2075190,102682,0.049,kept
ajisai-alpinea-logo.png,431218,19712,0.046,kept
ajisai-aplinea-0708ver.png,2039230,90118,0.044,kept
ajisai-group-logo-crop.png,655353,67054,0.102,kept
ajisai-group-logo.png,2044037,73072,0.036,kept
ajisai-group-white-crop.png,745390,105926,0.142,kept
ajisai-group-white.png,2139718,121600,0.057,kept
akihabara-miniatura.png,47289,5484,0.116,kept
akihabara-station.jpg,2292581,1313626,0.573,kept
akihabara-tempo-de-deslocamento.png,1016035,170820,0.168,kept
akihabara.png,947641,116934,0.123,kept
alpi-aji-logofinal.jpg,73092,29044,0.397,kept
alpinea-ajisai-final-logo-branco.png,558921,162490,0.291,kept
alpinea-ajisai-logo-v8.png,483665,10182,0.021,kept
alpinea-logo-white-crop.png,253755,18224,0.072,kept
amamoto.png,386112,17814,0.046,kept
aman-breakfast.png,225698,106148,0.47,kept
aman-kyoto.png,1395334,49718,0.036,kept
aman-tokyo.png,810146,60902,0.075,kept
amancafe.jpg,133792,77268,0.578,kept
amancafe2.jpg,73537,37302,0.507,kept
amanemu.png,223721,12208,0.055,kept
amankyoto.png,592636,46416,0.078,kept
amankyoto2.png,1978383,204930,0.104,kept
amanroom.png,396512,39586,0.1,kept
amantokyo5.jpg,47083,48714,1.035,skipped_no_gain
ami-ryogoku.png,460864,52052,0.113,kept
anime-gaming-cover.png,542183,74524,0.137,kept
ao.png,638078,34134,0.053,kept
ao2.png,268523,18536,0.069,kept
apple-pay.png,15295,4860,0.318,kept
arai2.png,235494,11832,0.05,kept
aranha-gigante.jpg,388624,318116,0.819,kept
aritsugu-logo.png,95818,5002,0.052,kept
arrivals-placa.png,1311490,30662,0.023,kept
asphard-interior.png,560659,24212,0.043,kept
asphard-nameplate.png,2225451,205330,0.092,kept
autumn.jpg,3545993,587474,0.166,kept
azumino.jpg,207490,181174,0.873,kept
badge-cadastur.png,622485,63474,0.102,kept
badge-reclameaqui.png,1015165,52022,0.051,kept
bizen.png,2657607,303668,0.114,kept
blacksmith.png,749772,46378,0.062,kept
booster.png,640312,90034,0.141,skipped_exists
breakbeats.png,404958,56246,0.139,skipped_exists
caption.jpg,39472,39832,1.009,skipped_no_gain
captionlogo.png,2064714,113712,0.055,kept
caravana-2-hero.png,2695857,286858,0.106,kept
caravana-hero.png,2691418,266142,0.099,kept
chanko-dojo-honten.png,587261,60110,0.102,kept
